full_name,group_number,birthdate,score
Alisa Melnik,107,1999-06-14,90
Varvara Goncharova,108,2004-08-08,55
Alina Galstyan,107,2000-01-11,55
Oleg Mazur,108,2002-07-06,82
Julia Solovyova,102,2000-12-27,59
Natalya Drozdova,106,2004-08-18,93
Elizaveta Panchuk,106,2000-08-01,56
Polina Melnik,108,2001-10-20,100
Kirill Prikhodko,106,2004-03-10,66
Polina Tatarova,99,2001-11-09,72
Snezhana Muslimova,101,2001-08-19,60
Nikita Galkin,107,2000-05-30,57
Andrey Agafonov,109,2001-09-14,80
Anastasia Smirnova,105,1999-05-25,95
Polina Dyachenko,102,2004-04-19,54
Elizaveta Mansurova,108,2003-01-03,63
Ivan Korotkov,102,2004-09-17,58
Pavel Kuliev,103,1999-11-08,77
Ivan Timchenko,108,2000-09-19,53
Pavel Tsenenko,107,2003-11-06,68
Oleg Lebed,109,2004-12-21,81
Marina Bezhanova,105,2003-12-24,85
Yuri Kovalenko,102,2004-06-26,43
Veronika Agafonova,110,2003-09-02,100
Valeria Bozhentsky,101,2004-03-11,75
Kirill Larin,100,2002-10-08,90
Andrey Larin,107,2003-12-26,80
Robert Morozov,107,2002-01-12,64
Juliana Dyachenko,101,1999-08-18,70
Ksenia Alieva,103,1999-05-22,83
Veronika Belikova,105,2001-03-14,74
Natalya Korotkova,105,2002-05-30,86
Daniil Bezhanov,101,2003-12-26,82
Varvara Selezneva,99,2002-01-23,68
Vyacheslav Isaev,102,2000-11-06,62
Olga Kuznetsova,100,2000-11-09,70
Juliana Tsvetkova,103,2001-12-13,55
Alina Vereshchagina,100,2003-03-12,69
Robert Medvedev,105,2001-04-15,72
Roman Kozlov,109,2003-08-17,69
Aslan Stepanenko,106,1999-08-27,82
Anastasia Voronina,99,1999-04-20,64
Natalya Vyatkin,108,2000-11-24,90
Alexey Smirnov,102,2000-04-07,35
Varvara Semenova,110,2002-02-26,85
Nikita Aliev,105,1999-03-21,50
Alina Belikova,105,2000-05-05,79
Denis Gevorgyan,104,2004-09-04,76
Ivan Ivanov,107,1999-07-27,60
Kirill Bondarenko,109,2003-03-07,77
Victoria Bodrova,99,1999-11-14,77
Julia Falk,109,2004-01-10,96
Alina Panchuk,108,2004-05-13,54
Valeria Stepanenko,102,2000-08-20,78
Diana Ivanova,106,2002-04-03,85
Alina Kudenetov,102,2000-11-21,72
Elena Orlova,107,2002-12-29,50
Victoria Zhirnova,99,2000-01-06,89
Marina Melnik,110,1999-04-30,51
Alisa Yusupova,99,2004-09-27,65
Polina Kota,103,2004-10-05,76
Ilya Morozov,106,2000-04-05,58
Maxim Timchenko,103,2002-05-16,88
Artem Semenov,101,2004-07-28,61
Veronika Zamanova,100,2002-07-30,87
Anastasia Mishchenko,106,2004-04-05,85
Kirill Mansurov,106,2000-04-18,86
Anna Kovalenko,101,2004-07-14,68
Alexandra Dyachenko,106,2004-03-25,76
Polina Kazina,105,2001-02-22,100
Marat Krot,108,2003-08-26,62
Elena Barkova,109,2002-05-01,46
Aslan Sidorov,101,2003-09-03,70
Snezhana Petrova,110,2001-10-01,90
Victoria Medvedeva,106,2004-11-13,75
Artem Popov,110,2000-05-27,65
Marat Safonov,100,2003-02-13,100
Sergey Kuznetsov,100,2001-06-05,97
Ivan Efremov,103,2003-05-20,91
Ksenia Dyachenko,109,2001-07-18,63
Daria Kazina,106,2003-10-27,74
Ilya Beridze,99,2001-12-29,69
Alexander Kota,104,2003-10-24,72
Polina Korotkova,104,2002-01-04,54
Daniil Magomedov,105,2000-10-05,77
Alisa Kovalenko,99,1999-11-08,83
Anna Sokolova,109,2001-05-16,70
Timofey Vyatkin,105,1999-03-09,61
Aslan Novikov,109,2002-07-02,68
Aslan Semenov,105,2000-04-02,73
Polina Alieva,108,2000-10-08,59
Vladimir Gevorgyan,108,2001-09-19,59
Alena Semenova,101,2002-05-13,96
Maxim Galkin,100,2002-10-15,74
Alexey Belikov,105,2000-09-30,69
Valery Kruzenshtern,109,2002-10-11,66
Robert Sidorov,110,2002-05-25,68
Snezhana Mishchenko,104,1999-11-24,71
Maria Tkachenko,104,2004-05-06,79
Denis Edapin,104,2002-03-23,71
Alexander Aganesyan,107,2001-01-13,76
Natalya Shilova,110,2004-06-28,54
Maria Prikhodko,101,2001-07-27,57
Anastasia Osipova,108,2000-06-27,73
Vladimir Dyachenko,103,1999-07-04,85
Valeria Zhilina,102,2002-04-28,51
Ilya Edapin,104,1999-11-29,100
Tatyana Belikova,105,2002-03-20,60
Juliana Novikova,101,2002-08-03,61
Timofey Seleznev,110,2001-04-25,64
Kirill Aganesyan,106,2003-07-27,65
Andrey Kazin,108,2003-11-29,73
Vyacheslav Petrosyan,102,1999-11-04,57
Kirill Afaunov,108,2000-05-29,63
Juliana Sidorova,109,2000-10-12,60
Diana Galkina,109,2004-10-30,55
Anastasia Tatarova,99,2002-12-22,75
Olga Tsenenko,106,2004-11-18,70
Julia Zhukova,110,2002-05-13,79
Maxim Turba,100,2003-12-09,74
Ekaterina Solovyova,104,2003-06-25,100
Timofey Krot,109,2004-01-20,62
Sergey Kovalenko,99,2001-12-17,66
Dmitriy Stepanenko,110,2002-10-25,64
Anna Tkachuk,104,2000-10-10,53
Alena Morozova,100,2004-02-14,74
Yuri Rodionov,101,2000-05-29,78
Nikita Orlov,104,2001-10-02,84
Egor Tkachuk,101,1999-01-07,68
Ekaterina Shilova,103,2000-09-18,86
Ivan Karpov,103,2001-07-13,74
Varvara Kazina,102,2003-12-20,53
Ilya Aganesyan,107,2001-04-12,66
Dmitriy Semenov,104,2001-01-02,75
Julia Novikova,105,2003-10-19,78
Maria Tsvetkova,101,2004-08-09,78
Diana Kuznetsova,106,2000-08-04,75
Stepan Smirnov,100,2000-07-04,78
Kristina Petrova,105,1999-03-28,50
Yuri Muslimov,109,2003-07-10,65
Nikita Zhirnov,99,2001-04-14,79
Pavel Morozov,105,2002-01-08,70
Olga Tos,103,2004-02-11,85
Elizaveta Galkina,100,1999-07-14,80
Daniil Vasiliev,109,2001-03-23,77
Alina Gevorgyan,109,2002-12-07,72
Alena Agafonova,109,1999-04-04,71
Nikita Tsenenko,106,1999-11-05,53
Andrey Panchuk,101,2000-08-08,95
Anastasia Efremova,106,2001-01-04,92
